City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp
gouyave,20,GD,1590103074,79,12.16,-61.73,20.8,84.2
port moresby,12,CD,1590103072,66,-7.03,29.76,6.38,72.34
kununurra,90,AU,1590103074,82,-15.77,128.73,10.29,64.4
coihaique,35,CL,1590103074,80,-45.58,-72.07,2.66,41.0
manta,20,EC,1590103074,74,-0.95,-80.73,14.99,80.6
mankachar,100,IN,1590103074,94,25.53,89.87,7.29,75.2
ashqelon,0,IL,1590103074,33,31.67,34.57,2.37,81.0
anchorage,75,US,1590103049,44,61.22,-149.9,6.93,57.2
parkes,90,AU,1590103075,91,-33.13,148.18,7.9,45.0
svetlaya,96,RU,1590103075,54,46.54,138.33,6.67,47.91
spirit river,1,US,1590103075,47,45.45,-90.11,12.75,75.2
sterling,90,US,1590102954,60,39.01,-77.43,8.05,69.01
khasan,98,RU,1590103075,85,42.43,130.64,8.12,47.21
bindi,66,SL,1590103075,81,9.92,-11.45,3.91,76.68
xining,87,CN,1590103075,54,36.62,101.77,0.74,54.64
mirnyy,51,RU,1590103075,32,62.54,113.96,8.95,53.6
ouadda,54,CF,1590103075,96,8.08,22.4,3.69,68.52
lekoni,36,GA,1590103075,83,-1.58,14.26,4.32,74.5
san luis,29,ML,1590103056,11,13.3,-4.9,5.01,95.45
oranjemund,4,NA,1590103075,92,-28.55,16.43,9.48,59.22
tuensang,96,IN,1590103075,84,26.28,94.83,2.17,68.54
cape coast,0,CL,1590102983,76,-36.41,-71.9,6.93,51.8
chernyshevskiy,0,RU,1590103076,63,63.01,112.47,5.57,50.18
karasjok,4,NO,1590103076,96,69.47,25.51,4.7,32.0
baglung,4,NP,1590103076,60,28.27,83.59,2.17,67.44
kosonsoy,0,UZ,1590103076,51,41.26,71.55,9.17,62.6
athabasca,100,CA,1590102943,90,54.72,-113.29,18.03,44.1
maridi,97,SS,1590103076,96,4.92,29.47,4.23,68.0
kassala,100,SD,1590103076,61,15.45,36.4,19.66,82.0
mtwango,50,TZ,1590103076,91,-9.02,34.8,8.77,52.9
marystown,12,CA,1590103076,76,47.17,-55.15,18.23,43.27
cukai,51,MY,1590103076,94,4.25,103.42,4.05,78.8
kahului,40,US,1590103076,46,20.89,-156.47,24.16,89.6
canico,20,PT,1590103076,68,32.63,-16.85,12.75,66.2
sampit,100,ID,1590103076,99,-2.53,112.95,3.2,75.2
karsun,0,RU,1590103076,92,54.2,46.98,5.64,39.02
sal rei,0,JO,1590103076,24,32.57,35.91,2.17,80.6
lai,99,TD,1590103076,78,9.4,16.3,4.05,75.58
bengkulu,54,ID,1590103077,82,-3.8,102.27,3.33,76.75
gasa,0,PS,1590102853,34,31.5,34.47,1.01,80.01
saint-augustin,98,CA,1590103077,69,51.23,-58.65,13.65,56.95
kaka,2,TM,1590103077,28,37.35,59.61,6.11,72.0
tautira,20,PF,1590103077,58,-17.73,-149.15,8.05,86.0
tokmak,61,UA,1590103077,67,47.25,35.71,7.7,47.75
paranaiba,0,BR,1590103077,80,-19.68,-51.19,5.12,71.19
winneba,53,GH,1590103077,83,5.35,-0.62,11.32,80.67
necochea,53,AR,1590102837,74,-38.55,-58.74,8.99,53.01
ilmajoki,0,FI,1590103077,86,62.73,22.57,1.12,35.01
ancud,40,CL,1590103077,87,-41.87,-73.82,2.24,46.4
kavaratti,100,IN,1590103077,71,10.57,72.64,10.36,84.92
kieta,28,PG,1590103077,73,-6.22,155.63,9.26,84.22
vilhena,20,BR,1590103077,83,-12.74,-60.15,5.82,77.0
valera,39,VE,1590103077,71,9.32,-70.6,2.19,79.09
shingu,93,JP,1590103077,94,33.73,135.98,8.48,62.47
flin flon,60,FR,1590103078,87,48.5,6.66,2.24,64.4
galbshtadt,86,RU,1590103078,58,53.23,78.98,3.31,52.99
prince rupert,90,CA,1590103078,59,52.97,-108.38,29.97,60.8
poyarkovo,61,RU,1590103078,48,49.6,128.68,4.41,64.18
ilulissat,0,GL,1590103078,74,69.22,-51.1,8.05,37.4
snezhnogorsk,66,RU,1590103078,92,69.19,33.25,9.51,26.6
camabatela,10,AO,1590103078,71,-8.19,15.38,0.89,62.87
itoman,75,JP,1590103078,88,26.12,127.67,18.34,71.6
cockburn town,90,AU,1590103078,66,-32.08,141.0,10.29,48.2
makinsk,58,KZ,1590103078,81,52.63,70.42,10.89,49.14
delano,1,US,1590103078,28,35.77,-119.25,10.29,87.01
baruun-urt,100,MN,1590103078,82,46.68,113.28,11.92,47.03
fortuna,90,US,1590102953,67,40.6,-124.16,16.11,61.0
mianyang,100,CN,1590103042,65,31.46,104.75,3.65,73.54
olafsvik,85,IS,1590103079,86,64.89,-23.71,11.7,46.36
gladstone,90,AU,1590103079,68,-23.85,151.25,8.05,64.4
rumoi,99,JP,1590103079,59,43.93,141.64,6.8,50.74
vangaindrano,62,MG,1590103079,89,-23.35,47.6,5.03,68.34
rondonopolis,5,BR,1590103079,76,-16.47,-54.64,3.36,76.84
adrar,15,MR,1590103079,12,20.5,-10.07,12.91,90.57
palu,93,ID,1590103079,81,-0.89,119.87,2.33,77.85
broome,1,US,1590103079,37,42.25,-75.83,6.93,72.0
rincon,75,US,1590102888,61,32.3,-81.24,2.68,80.6
albuquerque,20,US,1590102996,5,35.08,-106.65,10.29,80.01
sabang,85,ID,1590103079,77,5.89,95.32,15.41,83.66
mazagao,75,BR,1590103079,100,-0.12,-51.29,5.82,80.6
sakakah,40,SA,1590103079,10,29.97,40.21,9.17,86.0
lovozero,95,RU,1590103079,93,68.0,35.01,7.7,32.72
altus,1,US,1590103080,45,34.64,-99.33,18.34,87.8
shuangyashan,100,CN,1590103080,58,46.64,131.15,3.65,56.66
saint-gabriel,1,CA,1590103080,23,46.3,-73.38,17.22,75.2
bulgan,25,MN,1590103080,63,48.81,103.53,6.08,44.42
rafaela,100,AR,1590103080,62,-31.25,-61.49,11.99,55.99
plettenberg bay,47,DE,1590103080,88,51.22,7.88,4.25,61.0
micheweni,8,TZ,1590103080,78,-4.97,39.83,14.0,77.99
thinadhoo,99,MV,1590103080,74,0.53,72.93,16.35,85.01
katherine,90,AU,1590103080,88,-14.47,132.27,8.05,64.4
ouargaye,3,BF,1590103080,33,11.5,0.06,11.01,93.07
pemangkat,100,ID,1590103080,91,1.17,108.97,12.12,77.92
sokoni,40,TZ,1590103080,94,-6.43,39.55,5.82,71.6
krutaya gorka,6,RU,1590103080,86,54.31,35.81,4.47,37.4
ilam,100,NP,1590103080,97,26.92,87.92,1.34,63.79
akdepe,66,TM,1590103080,45,42.06,59.38,9.17,69.8
huanren,100,CN,1590103080,91,41.26,125.37,4.59,53.65
constitucion,20,CL,1590103081,67,-35.33,-72.42,7.36,53.31
newark,20,US,1590102862,63,40.74,-74.17,9.17,64.99
port keats,12,CD,1590103056,66,-7.03,29.76,6.38,72.34
trifesti,7,RO,1590103081,65,47.45,27.52,1.01,45.0
loa janan,8,US,1590103081,16,38.4,-111.64,7.0,69.01
havoysund,50,NO,1590103081,86,71.0,24.66,6.93,33.8
wanaka,75,NZ,1590102914,74,-44.7,169.15,8.43,52.12
klyuchi,93,RU,1590103081,69,52.27,79.17,2.89,54.23
agadir,40,MA,1590102823,88,30.42,-9.6,5.84,66.2
panaba,42,MX,1590103081,58,21.28,-88.27,17.43,87.8
lagoa,100,PT,1590103081,66,39.05,-27.98,13.2,58.82
kalavai,83,IN,1590103081,47,12.77,79.42,7.52,87.53
iskandar,2,UZ,1590103081,67,41.55,69.7,6.93,62.6
qeshm,40,IR,1590103081,27,26.96,56.27,4.7,93.2
nacala,5,MZ,1590103081,92,-14.54,40.67,7.52,67.75
teahupoo,20,PF,1590103081,58,-17.83,-149.27,8.05,86.0
verkhoyansk,100,RU,1590103081,79,67.54,133.38,13.58,35.82
rio gallegos,20,GR,1590103082,87,38.3,21.78,0.6,60.8
mayo,75,US,1590102877,68,38.89,-76.51,6.93,68.0
paita,0,PE,1590103082,74,-5.09,-81.11,18.1,70.47
brae,39,GB,1590103082,93,60.4,-1.35,4.7,50.0
terrace bay,75,CA,1590103082,47,54.52,-128.6,8.05,57.2
winchester,100,GB,1590103082,67,51.07,-1.32,5.82,61.0
letka,100,RU,1590103082,90,59.6,49.42,9.91,46.71
boca do acre,0,IT,1590103082,88,45.68,8.41,3.47,64.0
tupik,18,RU,1590103082,54,54.43,119.93,5.68,49.69
amalapuram,32,IN,1590103082,94,16.58,82.02,2.73,81.48
youghal,75,IE,1590103082,93,51.95,-7.85,24.16,55.0
lavrentiya,100,RU,1590103082,95,65.58,-171.0,9.28,33.1
san juan,29,ML,1590102905,11,13.3,-4.9,5.01,95.45
andapa,8,MG,1590103082,88,-14.65,49.65,3.56,60.01
mundra,0,IN,1590102871,72,22.85,69.73,15.12,81.95
amapa,100,BR,1590103083,98,1.0,-52.0,2.68,74.95
nichinan,75,JP,1590103083,77,31.6,131.37,4.7,62.6
eyl,4,SO,1590103083,65,7.98,49.82,24.45,84.85
dryden,1,CA,1590103083,34,49.78,-92.75,16.11,80.6
bireun,91,ID,1590103083,70,5.2,96.7,4.61,77.74
zhuanghe,100,CN,1590103083,91,39.7,122.99,18.21,55.94
darhan,100,MN,1590103084,67,49.49,105.92,1.03,48.76
atlantic city,75,US,1590102940,67,39.47,-74.67,8.05,64.0
atar,0,MR,1590103084,12,20.52,-13.05,9.98,89.4
port pirie,12,CD,1590103044,66,-7.03,29.76,6.38,72.34
buta,70,CD,1590103084,98,2.79,24.73,2.21,69.82
ghanzi,0,BW,1590103084,44,-21.57,21.78,7.65,55.38
ngara,1,TZ,1590103085,100,-2.51,30.66,2.62,54.3
linxia,100,CN,1590103085,42,35.6,103.21,3.71,59.23
sulphur springs,40,US,1590103085,74,30.24,-93.38,12.75,87.01
crestview,1,US,1590103085,51,30.76,-86.57,10.29,86.0
san carlos de bariloche,29,ML,1590103056,11,13.3,-4.9,5.01,95.45
vikhorevka,8,RU,1590103085,58,56.12,101.16,2.24,55.0
maragogi,11,BR,1590103086,84,-9.01,-35.22,9.55,78.82
japura,33,ID,1590103086,92,-0.32,102.35,1.1,74.68
chota,77,PE,1590103086,87,-6.55,-78.65,3.53,57.85
okha,100,RU,1590103086,86,53.57,142.95,6.44,37.56
